,Kingdom,Phylum,Class,Order,Family,Genus,Species,10107-1st,10107-2nd,10107-3rd,10188-1st,10188-2nd,134-1st,134-2nd,134-3rd,134-4th,172-3rd,18-1st,18-2nd,18-3rd,18-4th,191-3rd,202-1st,202-2nd,205-1st,205-2nd,205-3rd,89--4th,S120-1st,S120-2nd,S124-1st,S124-2nd,S124-3rd,S134-1st,S134-2nd,S172-1st,S172-2nd,S190-1st,S190-2nd,S191-1st,S191-2nd,S198-1st,S198-2nd,S47-1st,S47-2nd,S49-1st,S49-2nd,S61-1st,S61-2nd,S78-1st,S78-2nd,S78-3rd,S78-4th,S78-5th,S78-6th,S89-2nd,S89-3rd,S89-4th
1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,9125,5058,22354,11040,45374,3604,13168,12131,3161,8819,507,2806,2513,2477,480,6423,4879,2869,12482,14207,3419,12506,7482,947,79040,5587,0,9437,17538,40796,7613,1331,1938,288,32885,19130,6613,38807,11092,37121,555,245,5517,15832,17203,14451,11109,92,214,27381,683
2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,0,0,54,0,0,6058,0,17163,4778,4098,4651,13281,10003,2988,0,719,2217,1484,8170,4484,176,32,134,0,43,0,0,0,16753,1047,0,0,44,0,6050,1189,546,389,0,0,19,90,5491,14107,19344,22019,18761,59,13,17,25
3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,muciniphila,8846,61761,50960,0,8,0,0,0,0,10,162,1184,373,1282,71,0,0,3,0,6,5,11,10,10,23013,8,0,0,9,0,0,0,1161,80,0,0,0,0,0,5,0,27,0,148,297,0,0,0,0,4,0
4,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,6557,1105,11830,0,39,0,0,0,0,0,27,34,15,0,7636,0,0,0,0,0,0,72344,385,31050,1597,8075,0,0,0,0,0,11,979,5358,0,0,0,0,0,29,14,92,21,0,0,0,0,0,0,0,0
5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,0,0,0,382,1458,787,1986,6623,374,427,327,1026,456,106,0,490,995,260,978,598,679,144,683,101,567,199,53,1889,530,36,3354,513,106,14,844,878,1829,818,3622,10742,93235,62,146,1226,2393,1910,1656,16,0,26,71
6,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,549,4860,7132,2006,2724,0,0,81,0,17687,16240,2803,498,237,1102,0,0,0,0,0,0,0,0,0,17398,38,0,0,10847,16016,1443,3089,432,0,68,1920,0,0,31669,0,0,0,489,0,0,0,0,0,0,0,0
7,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,125434,0,0,0,0,0,0,0,0,0
8,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,funiformis,0,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,17,0,0,0,0,0,0,0,0,0,522,0,0,0,13,0,1351,111394,954,182,68,481,1932,0,0,22,6
9,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,429,273,1517,5461,14501,0,0,0,0,0,452,35575,4650,2686,249,0,0,0,0,0,9466,0,0,0,0,0,2663,0,0,0,0,0,494,0,0,0,0,0,8567,16436,0,0,340,591,2017,197,0,0,45,2286,1888
10,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5111,10647,13637,5281,36875,45,0,0,0,1444,260,6972,403,36,78,0,0,478,1752,927,290,1725,441,515,911,260,0,0,7558,480,876,852,70,38,1451,1036,0,0,0,0,0,108,1367,27,687,209,172,0,0,38,54
